  Number  Name                   Base kV    Type    Load MW    Load Mvar     Gen. MW    Set. kV    Mvar fixed    Mvar var.
    1415  SEL-69                 69.0000       1    12.5560       0.0000      0.0000   nan             0.0000       0.0000
    1416  SJU-69                 69.0000       1     6.8980       0.0000      0.0000   nan             0.0000       0.0000
    1417  SEC-69                 69.0000       1     0.5740       0.0800      0.0000   nan             0.0000       0.0000
    1418  CEL-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1422  PRO-138               138.0000       1    27.7970       2.0850      0.0000   nan             0.0000       0.0000
    1423  CLL-138               138.0000       1    13.0860       2.4310      0.0000   nan             0.0000       0.0000
    1424  GEN-69                 69.0000       1    19.3330       0.0000      0.0000   nan             0.0000       0.0000
    1425  LVG-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1426  REN-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1427  EST-69                 69.0000       1     2.5130       0.2790      0.0000   nan             0.0000       0.0000
    1428  EJI-69                 69.0000       1     4.6990       1.6180      0.0000   nan             0.0000       0.0000
    1429  CHS-69                 69.0000       1    10.9460       0.0000      0.0000   nan             0.0000       0.0000
    1431  RIO-69                 69.0000       1     3.1280       0.0000      0.0000   nan             0.0000       0.0000
    1432  MYE-69                 69.0000       1     6.4200       0.0000      0.0000   nan             0.0000       0.0000
    1433  RAN-69                 69.0000       1    11.1320       0.0000      0.0000   nan             0.0000       0.0000
    1434  MOY-138               138.0000       1     9.9710       0.0000      0.0000   nan             0.0000       0.0000
    1435  SCR-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1436  PAS-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1437  PVE-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1439  LAP-69D                69.0000       1     4.9230       0.2730      0.0000   nan             0.0000       0.0000
    1442  POP-69                 69.0000       1     8.8100       0.0000      0.0000   nan             0.0000       0.0000
    1444  TIC-231               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1445  IPA-138               138.0000       1     7.2670       0.0000      0.0000   nan             0.0000       0.0000
    1447  TIC-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1448  TIC-232               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1449  MTZ-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1483  MTZ-13                 13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1484  SIS-13                 13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1490  TEC-691                69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1491  TEC-692                69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1492  IAT-69                 69.0000       1     0.5050       0.0000      0.0000   nan             0.0000       0.0000
    1493  RGR-138               138.0000       1    15.0760       0.0000      0.0000   nan             0.0000       0.0000
    1495  PET-69                 69.0000      -2    20.0650       0.0000      0.0000     1.0000        0.0000      10.8000
    1497  CQM-138               138.0000       1    13.9460       2.5120      0.0000   nan             0.0000       0.0000
    1498  ZCA-138               138.0000       1     6.6930       1.2220      0.0000   nan             0.0000       0.0000
    1499  PAN-138               138.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1501  LBR-13T                13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1502  ESC-T1                 13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1503  GNO-131T               13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1504  ESC-T2                 13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1505  GNO-132T               13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1506  ESP-T1                 13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1507  GES-13T                13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1509  GSU-131T               13.2000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1511  GSU-132T               13.2000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1513  GSU-133T               13.2000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1516  PAN-13T                13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1518  GNO-133T               13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1519  ESP-132T               13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1520  HUE-13T                 0.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1521  PAN-13T2               13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1522  GES-132T               13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1524  SAS-13T                13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1526  MOR-13T                13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1527  IZA-13T                13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1528  HUE-132T               13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1530  LVG-13T                13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1531  PNZ-13T                13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1534  ISA-13T                13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1601  CHX-H1                 13.8000       2     0.0000       0.0000     49.6480     1.0230        0.0000       0.0000
    1602  CHX-H2                 13.8000       2     0.0000       0.0000     49.6480     1.0230        0.0000       0.0000
    1603  CHX-H3                 13.8000       2     0.0000       0.0000     49.6480     1.0230        0.0000       0.0000
    1604  CHX-H4                 13.8000       2     0.0000       0.0000     49.6480     1.0230        0.0000       0.0000
    1605  CHX-H5                 13.8000       2     0.0000       0.0000     49.6480     1.0230        0.0000       0.0000
    1606  AGU-H1                 10.0000       2     0.0000       0.0000     27.2220     1.0050        0.0000       0.0000
    1607  AGU-H2                 10.0000       2     0.0000       0.0000     27.2220     1.0050        0.0000       0.0000
    1608  AGU-H3                 10.0000       2     0.0000       0.0000     27.2220     1.0050        0.0000       0.0000
    1609  JUR-H1                 13.8000       2     0.0000       0.0000     16.7820     1.0250        0.0000       0.0000
    1610  JUR-H2                 13.8000       2     0.0000       0.0000     16.7820     1.0250        0.0000       0.0000
    1611  JUR-H3                 13.8000       2     0.0000       0.0000     16.7820     1.0250        0.0000       0.0000
    1612  LES-H                   6.9000       2     0.0000       0.0000      0.0000     1.0080        0.0000       0.0000
    1613  RBO-H                   4.2000      -2     0.0000       0.0000      7.9770     1.0150        0.0000       0.0000
    1614  SMA-H                   2.3000      -2     0.0000       0.0000      1.7320     1.0000        0.0000       0.0000
    1615  SAL-H                   2.3000      -2     0.0000       0.0000      0.0000     1.0010        0.0000       0.0000
    1616  POR-H                   2.3000      -2     0.0000       0.0000      0.0000     1.0000        0.0000       0.0000
    1618  ESC-G25                13.8000      -2     0.0000       0.0000      0.0000     1.0000        0.0000       0.0000
    1619  ESC-G3                 13.8000      -2     0.0000       0.0000      0.0000     1.0000        0.0000       0.0000
    1621  ENR-B3                 13.8000      -2     0.0000       0.0000     17.0000     1.0000        0.0000       0.0000
    1622  S&S-D                  13.8000      -2     0.2480       0.0000      0.0000     1.0250        0.0000       0.0000
    1623  ENR-B3B                13.8000      -2     0.0000       0.0000      0.0000     1.0100        0.0000       0.0000
    1626  LAG-G1                 13.8000      -2     0.0000       0.0000      0.0000     1.0090        0.0000       0.0000
    1630  ENR-B1                 13.8000      -2     0.0000       0.0000      0.0000     1.0300        0.0000       0.0000
    1631  ENR-B2                 13.8000      -2     0.0000       0.0000      0.0000     1.0300        0.0000       0.0000
