  From number    To number  From name         To name              Last bus number  Last bus name       ID    Service                 R (pu)    X (pu)    Tap ratio (pu)
        28181        27181  15SE-230_230.00   15SE-115_115.00                24181  15SE-46_46.000      1     All in-service          0.0009    0.0480                 1
        28181        27181  15SE-230_230.00   15SE-115_115.00                24181  15SE-46_46.000      2     All in-service          0.0009    0.0480                 1
        28371        27371  NEJA-230_230.00   NEJA-115_115.00                22372  NEJA-23AT_23.000    1     All in-service          0.0000    0.0482                 1
        28371        27371  NEJA-230_230.00   NEJA-115_115.00                22372  NEJA-23AT_23.000    2     All in-service          0.0000    0.0482                 1
        50000        50008  LIB230A_230.00    LIB34.5A_34.500                50030  LIBT1T_13.800       1     All in-service          0.0000    0.3283                 1
        50002        50010  LIB230B_230.00    LIB34.5B_34.500                50031  LIBT2T_13.800       2     All in-service          0.0000    0.3527                 1
        50050        50054  CAS230A_230.00    CAS138_138.00                  50080  CASAT1T_13.800      1     All in-service          0.0000    0.0602                 1
        50050        50058  CAS230A_230.00    CAS34.5A_34.500                50082  CAST1T_13.800       1     All in-service          0.0000    0.3740                 1
        50052        50054  CAS230B_230.00    CAS138_138.00                  50081  CASAT2T_13.800      2     All out-of-service      0.0000    0.1530                 1
        50052        50060  CAS230B_230.00    CAS34.5B_34.500                50083  CAST2T_13.800       2     All in-service          0.0000    0.4050                 1
        50102        50108  COR230B_230.00    COR34.5_34.500                 50130  CORT4T_13.800       4     All in-service          0.0000    0.3573                 1
        50150        50158  TEJ230A_230.00    TEN34.5A_34.500                50180  TENT1T_13.800       1     All in-service          0.0000    0.3700                 1
        50150        50160  TEJ230A_230.00    TEN34.5B_34.500                50181  TENT2T_13.800       1     All in-service          0.0000    0.3670                 1
        50150        50162  TEJ230A_230.00    TEN34.5C_34.500                50182  TENT3T_13.800       3     All in-service          0.0000    0.3700                 1
        50202        50208  ARE230B_230.00    ARE34.5_34.500                 50230  ARET4T_13.800       4     All in-service          0.0000    0.4875                 1
        50250        50260  MIR230A_230.00    MIR34.5C_34.500                50282  MIRT8T_13.800       8     All in-service          0.0000    0.3530                 1
        50252        50258  MIR230B_230.00    MIR34.5A_34.500                50281  MIRT7T_13.800       7     All in-service          0.0000    0.3925                 1
        50252        50259  MIR230B_230.00    MIR34.5B_34.500                50280  MIRT3T_13.800       3     All in-service          0.0000    0.3667                 1
        50300        50308  MOG230A_230.00    PEG34.5A_34.500                50330  PEGT1T_13.800       1     All in-service          0.0000    0.2170                 1
        50300        50312  MOG230A_230.00    PEM34.5B_34.500                50332  MOGT3T_13.800       3     All in-service          0.0000    0.5488                 1
        50350        50354  BAR230_230.00     BAR138_138.00                  50382  BARAT1T_13.800      1     All in-service          0.0000    0.0600                 1
        50350        50354  BAR230_230.00     BAR138_138.00                  50383  BARAT2T_13.800      2     All out-of-service      0.0000    0.2087                 1
        50350        50358  BAR230_230.00     BAR34.5A_34.500                50380  BART1T_13.800       1     All in-service          0.0000    0.3737                 1
        50350        50360  BAR230_230.00     BAR34.5B_34.500                50381  BART2T_13.800       2     All in-service          0.0000    0.3620                 1
        50354        50360  BAR138_138.00     BAR34.5B_34.500                50384  BART4T_13.800       4     All out-of-service      0.0000    0.3357                 1
        50404        50408  JUA138_138.00     JUA34.5A_34.500                50430  JUAT3T_13.800       3     All in-service          0.0000    0.3970                 1
        50404        50410  JUA138_138.00     JUA34.5B_34.500                50431  JUAT4T_13.800       4     All in-service          0.0000    0.4095                 1
        50504        50508  GUA138_138.00     GUA69_69.000                   50533  GUAT4T_13.800       4     All in-service          0.0000    0.3626                 1
        50504        50512  GUA138_138.00     GUA24.9A_24.900                50530  GUAT1T_13.800       1     All in-service          0.0000    0.3757                 1
        50504        50514  GUA138_138.00     GUA24.9B1_24.900               50531  GUAT2T_13.800       2     All in-service          0.0000    0.4077                 1
        50540        50544  PIN69A_69.000     PIN24.9A_24.900                50541  PINT1T_13.800       1     All in-service          0.0000    0.3500                 1
        50542        50546  PIN69B_69.000     PIN24.9B_24.900                50543  PINT2T_13.800       1     All in-service          0.0000    0.3500                 1
        50554        50558  SRI138_138.00     SRI34.5_34.500                 50580  SRIT1T_13.800       1     All in-service          0.0000    0.3854                 1
        50554        50562  SRI138_138.00     SRI24.9_24.900                 50582  SRIT3T_13.800       3     All out-of-service      0.0000    0.5090                 1
        50650        50662  CQU230_230.00     CQU24.9A_24.900                50680  CQUT2T_13.800       2     All in-service          0.0000    0.3227                 1
        50650        50664  CQU230_230.00     CQU24.9B_24.900                50681  CQUT3T_13.800       3     All in-service          0.0000    0.3140                 1
        50658        50664  CQU34.5_34.500    CQU24.9B_24.900                50682  CQUAT1T_13.800      1     All in-service          0.0000    0.4900                 1
        50700        50708  TOR230_230.00     TOR34.5A_34.500                50730  TORT4T_13.800       4     All in-service          0.0000    0.3560                 1
        50700        50710  TOR230_230.00     TOR34.5B_34.500                50732  TORT6T_13.800       6     All in-service          0.0000    0.3809                 1
        50708        50712  TOR34.5A_34.500   TOR24.9_24.900                 50731  TORT5T_13.800       5     All in-service          0.0000    0.2645                 1
        50750        50766  VEN230A_230.00    VEN69_69.000                   50780  VENT1T_13.800       1     All in-service          0.0000    0.3570                 1
        50800        50808  PBL230_230.00     PBL69.0_69.000                 50831  PBLT2T_13.800       2     All in-service          0.0000    0.3700                 1
        50800        50812  PBL230_230.00     PBL24.9_24.900                 50830  PBLT1T_13.800       1     All in-service          0.0000    0.3600                 1
        50854        50858  COB138_138.00     COB34.5_34.500                 50880  COBT1T_13.800       1     All in-service          0.0000    0.3667                 1
        50900        50908  GAB230A_230.00    GAB34.5A_34.500                50931  GABT2T_13.800       2     All in-service          0.0000    0.3367                 1
        50900        50910  GAB230A_230.00    GAB34.5B_34.500                50930  GABT1T_13.800       1     All out-of-service      0.0000    0.3720                 1
        50952        50962  CAR230B_230.00    CAR24.9_24.900                 50980  CART1T_13.800       1     All in-service          0.0000    0.2476                 1
        51100        51108  ORO230_230.00     ORO34.5A_34.500                51130  OROT1T_13.800       1     All in-service          0.0000    0.2110                 1
        51100        51110  ORO230_230.00     ORO34.5B_34.500                51132  OROT2T_13.800       2     All in-service          0.0000    0.5576                 1
        51100        51112  ORO230_230.00     ORO34.5C_34.500                51134  OROT3T_13.800       3     All in-service          0.0000    0.5544                 1
        51150        51158  PAI230A_230.00    PAI34.5_34.500                 51180  PAIT1T_13.800       1     All in-service          0.0000    0.2411                 1
        51200        51208  PAP230A_230.00    PAP34.5A_34.500                51231  PAPT2T_13.800       2     All in-service          0.0000    0.3840                 1
