  From number    To number  From name           To name             ID      In service    R (pu)    X (pu)    Tap ratio (pu)    Capacity (MVA)
         1686         1806  GEC-B_13.800        GEC-69_69.000       1                1    0.0372    0.5544            1.0000           18.0000
         1689        12241  TND-B_13.800        TND-69_69.000       1                1    0.0000    0.5687            1.0000           22.4000
         1690         1712  CND-H_6.6000        CND-69_69.000       1                1    0.0000    1.4040            1.0000            7.5000
         1692         1806  GEC-B2_13.800       GEC-69_69.000       1                1    0.0000    0.2222            1.0000           45.0000
         1693         1823  PVI-H1_13.800       PVI-230_230.00      1                1    0.0000    0.2040            1.0000           50.0000
         1694         1823  PVI-H2_13.800       PVI-230_230.00      1                1    0.0000    0.2040            1.0000           50.0000
         1704         1981  OXE-692_69.000      OXE-H2_13.800       1                1    0.0000    0.1704            1.0000           69.0000
         1747         1945  CHO-69_69.000       CHO-H_6.6000        1                1    0.0000    0.5744            1.0011           12.5000
         1755         1960  GCS-138_138.00      GCS-C1_13.800       1                1    0.0000    0.3189            1.0000           45.0000
         1756         1954  REN-230_230.00      REN-H4_13.800       1                1    0.0000    0.3617            1.0000           36.0000
         1756         1955  REN-230_230.00      REN-H5_13.800       1                1    0.0000    0.3617            1.0000           36.0000
         1756         1956  REN-230_230.00      REN-H6_13.800       1                1    0.0000    0.3617            1.0000           36.0000
         1756         1957  REN-230_230.00      REN-H7_13.800       1                1    0.0000    0.3617            1.0000           36.0000
         1758         1964  STS-69_69.000       STS-H1_6.3000       1                1    0.0000    0.8980            1.0000           10.0000
         1758         1965  STS-69_69.000       STS-H2_6.3000       1                1    0.0000    0.8980            1.0000           10.0000
         1762         1763  AMI-69_69.000       AMI-13_13.800       1                1    0.0000    0.0850            1.0000           14.0000
         1764         1975  VDA-69_69.000       VDA-H_0.6900        1                1    0.0000    3.9550            1.0000            2.5000
         1768         1769  LLB-69_69.000       LLB-34_34.500       1                1    0.0000    0.6207            1.0000           10.0000
         1775         1857  MNL-13_13.800       MNL-69_69.000       1                1    0.0000    0.9437            1.0000            8.0000
         1775         1953  MNL-13_13.800       MNL-H1_0.4800       1                1    0.0000    2.1333            1.0000            3.0000
         1775        16007  MNL-13_13.800       MNL-H2_0.4800       1                1    0.0000    3.5000            1.0000            1.8000
         1775        16008  MNL-13_13.800       MNL-H3_0.4800       1                1    0.0000    4.1290            1.0000            1.6000
         1776         1777  LCU-138_138.00      LCU-34_34.500       1                1    0.0000    0.3486            1.0000           35.0000
