  From Number    To Number  From Name         To Name             ID      Resistance_ohm    Reactance_ohm    Susceptance_uS    Base kV
         1218        12232  MAG-69_69.000     MPC-69_69.000       1               2.0463           6.4683           57.5509    69.0000
         1219         1221  MAG-230_230.00    MAG-231_230.00      1               0.1270           0.4549            2.6843   230.0000
         1220         1241  MTI-69_69.000     PNT-69_69.000       1               2.4324           4.5301           36.5469    69.0000
         1223        12282  SAA-69_69.000     SAA-693_69.000      1               0.0986           0.4052            3.7807    69.0000
         1240        12219  EJO-69_69.000     PNT-691_69.000      1               0.6618           4.7610           42.0080    69.0000
         1241        12219  PNT-69_69.000     PNT-691_69.000      1               0.0395           0.1219            1.0502    69.0000
         1241        12220  PNT-69_69.000     PNT-692_69.000      1               0.0438           0.1343            1.2602    69.0000
         1241        12283  PNT-69_69.000     MIR-69_69.000       1               1.8116           3.2884           27.9353    69.0000
         1249        12049  LVA-69_69.000     CQU-69_69.000       1               2.5400           8.0290           71.4136    69.0000
         1251        12292  GSL-B_69.000      MIR-692_69.000      1               0.5663           2.3342           21.6341    69.0000
         1301         1331  CHM-69_69.000     SJG-69_69.000       1               2.1410           7.4214           54.8204    69.0000
         1301         1806  CHM-69_69.000     GEC-69_69.000       1               0.6127           1.3688           12.3924    69.0000
         1301         1810  CHM-69_69.000     PAT-69_69.000       1               2.5095           8.6979           64.2722    69.0000
         1302         1310  COA-69_69.000     MEL-69_69.000       1              11.7087          14.6963           83.8059    69.0000
         1302         1310  COA-69_69.000     MEL-69_69.000       2               3.6693          11.5730          103.5497    69.0000
         1302         1862  COA-69_69.000     HLB-691_69.000      1               2.7308           8.6131           77.0846    69.0000
         1303         1816  COC-69_69.000     CAO-69_69.000       1               3.2694          11.3393           83.8059    69.0000
         1303         1833  COC-69_69.000     TOL-69_69.000       1               3.8131          13.2265           97.8786    69.0000
         1303        12220  COC-69_69.000     PNT-692_69.000      1               1.5330          11.0408           98.7188    69.0000
         1303        12292  COC-69_69.000     MIR-692_69.000      1               2.3681           9.7612           90.7372    69.0000
         1304         1321  ESP-69_69.000     ZUN-69D_69.000      1               2.2201           7.6952           56.7108    69.0000
         1304         1322  ESP-69_69.000     ZUN-69_69.000       1               2.2948           9.4506           88.2168    69.0000
         1304         1329  ESP-69_69.000     XEL-69D_69.000      1               0.3276           1.1345            8.4016    69.0000
         1304         1372  ESP-69_69.000     SMR-69_69.000       1               4.4306          15.3604          113.4216    69.0000
         1306         1314  LBR-691_69.000    SMA-69_69.000       1               2.2091           9.1078           84.0160    69.0000
         1306         1338  LBR-691_69.000    EPI-69_69.000       1               0.4775           1.6544           12.1823    69.0000
         1306         1374  LBR-691_69.000    SFE-69_69.000       1               1.0203           3.5360           26.0449    69.0000
         1306         1828  LBR-691_69.000    REC-69D_69.000      1               0.6142           1.9158           17.4333    69.0000
         1306         1857  LBR-691_69.000    MNL-69_69.000       1               2.1167           7.3365           54.1903    69.0000
         1306         1860  LBR-691_69.000    EPI-691_69.000      1               0.9003           3.6069           25.6249    69.0000
         1306         1862  LBR-691_69.000    HLB-691_69.000      1               2.8194           8.8927           79.6051    69.0000
         1306         1863  LBR-691_69.000    ISI-69_69.000       1               5.7252          18.0639          161.5207    69.0000
         1306         1869  LBR-691_69.000    LFU-691_69.000      1               1.6094           5.5780           41.1678    69.0000
         1308         1310  MAL-69_69.000     MEL-69_69.000       1              17.0201          21.3702          122.0332    69.0000
         1308         1312  MAL-69_69.000     POR-69_69.000       1               7.4186           9.3116           53.1401    69.0000
         1308         1846  MAL-69_69.000     FLO-69_69.000       1               2.4631           7.7259           70.5734    69.0000
         1309         1336  MAZ-69_69.000     LCR-69_69.000       1               0.9274           3.2142           23.7345    69.0000
         1309         1835  MAZ-69_69.000     PNA-69_69.000       1               2.5924           8.9650           66.3726    69.0000
         1314         1322  SMA-69_69.000     ZUN-69_69.000       1               0.7665           3.1518           29.4056    69.0000
         1314         1339  SMA-69_69.000     CAN-69_69.000       1               0.7322           1.9939           17.0132    69.0000
         1314         1374  SMA-69_69.000     SFE-69_69.000       1               1.9068           6.6083           48.7293    69.0000
         1314         1813  SMA-69_69.000     ZUN-692_69.000      1               0.1909           0.6618            4.8309    69.0000
         1315         1318  SOL-69_69.000     ALK-69_69.000       1               3.8997          13.5179           99.7690    69.0000
         1315         1810  SOL-69_69.000     PAT-69_69.000       1               4.4715          15.5013          114.4717    69.0000
         1315         1833  SOL-69_69.000     TOL-69_69.000       1               3.8674          13.4151           99.1388    69.0000
         1315         1859  SOL-69_69.000     SOL-692_69.000      1               2.0472           7.0891           52.5100    69.0000
         1318         1329  ALK-69_69.000     XEL-69D_69.000      1               1.9501           6.7597           49.9895    69.0000
         1320         1828  IRT-69_69.000     REC-69D_69.000      1               0.0271           0.0852            0.8402    69.0000
         1321         1322  ZUN-69D_69.000    ZUN-69_69.000       1               0.8170           2.8314           21.0040    69.0000
         1322         1813  ZUN-69_69.000     ZUN-692_69.000      2               0.8222           2.8504           21.0040    69.0000
         1324         1372  TEJ-69_69.000     SMR-69_69.000       1               3.2184          11.1555           82.3356    69.0000
         1336         1337  LCR-69_69.000     TUL-69_69.000       1               0.6551           2.0439           18.6936    69.0000
         1336         1338  LCR-69_69.000     EPI-69_69.000       1               1.2002           4.1597           30.6658    69.0000
         1339         1399  CAN-69_69.000     MTO-69_69.000       1               0.8617           1.6725           12.1823    69.0000
         1372         1871  SMR-69_69.000     SMR-691_69.000      1               2.0472           1.1325           43.4783    69.0000
         1372         1892  SMR-69_69.000     SRP-69_69.000       1               1.9648           6.1631           56.2907    69.0000
         1398         1866  REC-69_69.000     REC-693_69.000      1               0.4605           1.4651            1.4703    69.0000
         1403         1416  COB-69_69.000     SJU-69_69.000       1               3.4498          11.9582           88.2168    69.0000
         1403         1764  COB-69_69.000     VDA-69_69.000       1               2.7776           9.6353           71.2035    69.0000
         1406         1709  LES-69_69.000     QSD-69_69.000       1              17.0475          21.4291          122.2432    69.0000
         1406        14012  LES-69_69.000     BRB-69_69.000       1               2.9514          10.2312           75.4043    69.0000
         1407         1413  LRU-69_69.000     RBO-69_69.000       1               3.1908          11.0608           81.7055    69.0000
         1407         1424  LRU-69_69.000     GEN-69_69.000       1               5.7365          19.8924          147.0279    69.0000
         1407         1431  LRU-69_69.000     RIO-69_69.000       1               4.9091          15.4856          138.6263    69.0000
         1407         1736  LRU-69_69.000     MOR-69_69.000       1               0.9066           3.1428           23.1044    69.0000
         1407        14122  LRU-69_69.000     LAM-69_69.000       1               4.7905          16.6316          123.0834    69.0000
         1408         1414  NOV-69_69.000     SAN-69_69.000       1               1.3093           4.5377           33.6064    69.0000
         1408         1667  NOV-69_69.000     CGP-69_69.000       1               0.0381           0.1190            1.0502    69.0000
         1409         1432  PAN-69_69.000     MYE-69_69.000       1               3.5179          12.1943           90.1071    69.0000
         1409         1435  PAN-69_69.000     SCR-69_69.000       1               1.4021           4.8591           35.9168    69.0000
         1411         1428  PRO-69_69.000     EJI-69_69.000       1              10.0552          12.6209           72.0437    69.0000
         1411         1709  PRO-69_69.000     QSD-69_69.000       1              10.5015          13.2006           75.4043    69.0000
         1411         1762  PRO-69_69.000     AMI-69_69.000       1               2.1139           7.6652          553.0351    69.0000
         1414         1415  SAN-69_69.000     SEL-69_69.000       1               3.6545          12.6671           93.4678    69.0000
         1414         1433  SAN-69_69.000     RAN-69_69.000       1               2.4519           8.4974           62.8019    69.0000
         1415         1449  SEL-69_69.000     MTZ-69_69.000       1               1.3640           4.7272           34.8666    69.0000
         1416         1426  SJU-69_69.000     REN-69_69.000       1               4.1054          12.8138          116.9922    69.0000
         1416         1426  SJU-69_69.000     REN-69_69.000       2               4.1054          12.8138          116.9922    69.0000
         1416         1447  SJU-69_69.000     TIC-69_69.000       1               1.0365           3.5927           26.4650    69.0000
         1416         1447  SJU-69_69.000     TIC-69_69.000       2               1.2145           3.7893           34.6566    69.0000
         1416         1758  SJU-69_69.000     STS-69_69.000       1               2.8423           9.8676           73.0939    69.0000
         1417         1712  SEC-69_69.000     CND-69_69.000       1               2.0468           6.3864           58.1811    69.0000
         1417         1718  SEC-69_69.000     TEL-69_69.000       1               0.5140           1.7844           13.2325    69.0000
         1417         1747  SEC-69_69.000     CHO-69_69.000       1               1.0793           1.9896           14.7028    69.0000
         1418         1433  CEL-69_69.000     RAN-69_69.000       1               1.3674           4.7386           35.0767    69.0000
         1418         1713  CEL-69_69.000     TFM-691_69.000      1               2.9418          10.1957           75.1943    69.0000
         1422         1445  PRO-138_138.00    IPA-138_138.00      1               6.1303          21.2626          157.0573   138.0000
         1422         1716  PRO-138_138.00    JUT-138_138.00      1               1.3337           4.6262           34.1840   138.0000
         1423         1795  CLL-138_138.00    HRU-138_138.00      1               0.2043           0.7088            5.2510   138.0000
         1423        14020  CLL-138_138.00    GGZ-138_138.00      1               3.6134          12.5395           92.7326   138.0000
         1425         1437  LVG-69_69.000     PVE-69_69.000       1               1.1593           4.0178           29.6156    69.0000
         1425         1439  LVG-69_69.000     LAP-69D_69.000      1               0.1543           0.3885            2.7305    69.0000
         1427         1431  EST-69_69.000     RIO-69_69.000       1               5.6846          17.9356          160.4705    69.0000
         1427         1735  EST-69_69.000     IZA-69_69.000       1               0.2809           0.9736            7.1414    69.0000
         1427        14002  EST-69_69.000     OXE-691_69.000      1               5.0887          15.9648          145.7677    69.0000
         1429         1719  CHS-69_69.000     SYX-69_69.000       1               8.1419          25.5435          233.1443    69.0000
         1429         1764  CHS-69_69.000     VDA-69_69.000       1               5.4190          18.7979          139.0464    69.0000
         1429        14011  CHS-69_69.000     RAA-691_69.000      1               6.5323          20.6292          184.8351    69.0000
         1431         1442  RIO-69_69.000     POP-69_69.000       1              12.0377          38.0499          341.3148    69.0000
         1432        14122  MYE-69_69.000     LAM-69_69.000       1               5.8551          20.3276          150.3886    69.0000
         1433         1772  RAN-69_69.000     SAS-69_69.000       1               0.3021           1.7370           21.2140    69.0000
         1434         1716  MOY-138_138.00    JUT-138_138.00      1               3.6096          12.5203           92.4701   138.0000
         1434        14024  MOY-138_138.00    PSC-138_138.00      1               4.1567          14.4207          106.5427   138.0000
         1435         1436  SCR-69_69.000     PAS-69_69.000       1               0.4090           1.4183           10.5020    69.0000
         1435         1491  SCR-69_69.000     TEC-692_69.000      1               0.4090           1.4169           10.5020    69.0000
         1439        14012  LAP-69D_69.000    BRB-69_69.000       1               0.7846           2.7197           20.1638    69.0000
         1442         1495  POP-69_69.000     PET-69_69.000       1              12.4881          39.1797          357.6980    69.0000
         1444         1448  TIC-231_230.00    TIC-232_230.00      1               0.0000           0.0529            0.0000   230.0000
         1445         1493  IPA-138_138.00    RGR-138_138.00      1               1.9215           6.6635           49.2018   138.0000
         1445         1776  IPA-138_138.00    LCU-138_138.00      1               2.0289           7.7214           51.8273   138.0000
         1447        14005  TIC-69_69.000     CAF-691_69.000      1               1.0194           3.5332           26.0449    69.0000
         1448         1756  TIC-232_230.00    REN-230_230.00      1               2.9984          19.6127          132.0605   230.0000
